timestamp_utc,soil_humidity,soil_temperature,system_air_humidity,system_air_temperature
2021-06-15T17:49:22+00:00,104.03,15.75,92.0,16.5
2021-06-15T17:49:25+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:49:28+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:49:31+00:00,103.32,15.75,92.0,16.5
2021-06-15T17:49:34+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:49:37+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:49:40+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:49:43+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:49:46+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:49:50+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:49:52+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:49:55+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:49:58+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:01+00:00,103.79,15.75,92.0,16.5
2021-06-15T17:50:04+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:07+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:10+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:13+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:16+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:19+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:23+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:25+00:00,103.79,15.75,92.0,16.5
2021-06-15T17:50:28+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:31+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:34+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:37+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:41+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:43+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:46+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:49+00:00,103.79,15.75,92.0,16.5
2021-06-15T17:50:53+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:55+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:50:58+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:51:01+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:51:04+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:51:07+00:00,103.79,15.75,92.0,16.5
2021-06-15T17:51:10+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:51:13+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:51:16+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:51:19+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:51:22+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:51:25+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:51:28+00:00,103.79,15.75,92.0,16.5
2021-06-15T17:51:31+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:51:34+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:51:37+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:51:40+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:51:43+00:00,103.79,15.75,92.0,16.6
2021-06-15T17:51:46+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:51:49+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:51:52+00:00,103.79,15.75,92.0,16.6
2021-06-15T17:51:56+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:51:58+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:52:01+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:52:04+00:00,103.79,15.75,92.0,16.6
2021-06-15T17:52:08+00:00,103.55,15.75,92.0,16.5
2021-06-15T17:52:10+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:52:14+00:00,103.79,15.75,92.0,16.6
2021-06-15T17:52:16+00:00,103.32,15.81,92.0,16.6
2021-06-15T17:52:20+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:52:23+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:52:25+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:52:28+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:52:31+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:52:34+00:00,103.79,15.75,92.0,16.6
2021-06-15T17:52:37+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:52:40+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:52:44+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:52:47+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:52:49+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:52:52+00:00,103.79,15.75,92.0,16.6
2021-06-15T17:52:55+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:52:59+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:53:01+00:00,103.79,15.75,92.0,16.6
2021-06-15T17:53:05+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:53:07+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:10+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:53:13+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:53:16+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:20+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:22+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:53:25+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:29+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:53:31+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:34+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:53:37+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:53:40+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:43+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:46+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:49+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:52+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:55+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:58+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:02+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:05+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:08+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:11+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:54:14+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:16+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:20+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:22+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:25+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:28+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:31+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:34+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:37+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:40+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:54:44+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:54:46+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:50+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:53+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:54:55+00:00,103.32,15.81,92.0,16.6
2021-06-15T17:54:58+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:01+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:04+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:55:07+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:10+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:55:13+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:16+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:20+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:22+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:26+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:28+00:00,103.32,15.81,92.0,16.6
2021-06-15T17:55:32+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:35+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:37+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:40+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:43+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:47+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:50+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:55:52+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:55:56+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:58+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:56:01+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:56:04+00:00,103.55,15.81,92.0,16.6
